date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:38:03	27285/27285	---MCZ	200	added ('OK')	text/html	date:Fri,%2014%20Jun%202019%2016:06:21%20GMT	https://doc.akka.io/docs/akka/current/index.html	doc.akka.io/docs/akka/current/index.html	(from )
18:38:05	41/41	---M--	200	added ('OK')	text/plain	etag:%2229-584ffe7de0138%22	https://doc.akka.io/robots.txt		(from )
18:38:06	84280/84280	---M-Z	200	added ('OK')	application/javascript	etag:%2214938-58962fef2aed7-gzip%22	https://doc.akka.io/docs/akka/current/lib/jquery/jquery.min.js	doc.akka.io/docs/akka/current/lib/jquery/jquery.min.js	(from https://doc.akka.io/docs/akka/current/index.html)
18:38:07	123510/123510	---M-Z	200	added ('OK')	application/javascript	etag:%221e276-58962fef29f37-gzip%22	https://doc.akka.io/docs/akka/current/lib/foundation/dist/js/foundation.min.js	doc.akka.io/docs/akka/current/lib/foundation/dist/js/foundation.min.js	(from https://doc.akka.io/docs/akka/current/index.html)
18:38:07	7783/7783	---M-Z	200	added ('OK')	text/css	etag:%221e67-58962fef2aed7-gzip%22	https://doc.akka.io/docs/akka/current/lib/normalize.css/normalize.css	doc.akka.io/docs/akka/current/lib/normalize.css/normalize.css	(from https://doc.akka.io/docs/akka/current/index.html)
18:38:09	71948/71948	---M-Z	200	added ('OK')	text/css	etag:%221190c-58962fef29f37-gzip%22	https://doc.akka.io/docs/akka/current/lib/foundation/dist/css/foundation.min.css	doc.akka.io/docs/akka/current/lib/foundation/dist/css/foundation.min.css	(from https://doc.akka.io/docs/akka/current/index.html)
18:38:10	18975/18975	---M-Z	200	added ('OK')	text/css	etag:W/%224a1f-CpG1pd4Wh0E5j9AIekidg+v/Nr4%22	https://cdn.jsdelivr.net/docsearch.js/2/docsearch.min.css	cdn.jsdelivr.net/docsearch.js/2/docsearch.min.css	(from https://doc.akka.io/docs/akka/current/index.html)
18:38:10	1072/1072	---M-Z	200	added ('OK')	text/css	etag:%22430-58962feebb9aa-gzip%22	https://doc.akka.io/docs/akka/current/css/icons.css	doc.akka.io/docs/akka/current/css/icons.css	(from https://doc.akka.io/docs/akka/current/index.html)
18:38:11	16211/16211	---M-Z	200	added ('OK')	text/css	etag:%223f53-58962feebb9aa-gzip%22	https://doc.akka.io/docs/akka/current/css/page.css	doc.akka.io/docs/akka/current/css/page.css	(from https://doc.akka.io/docs/akka/current/index.html)
18:38:13	15086/15086	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%223aee-58962feefd07f%22	https://doc.akka.io/docs/akka/current/images/favicon.ico	doc.akka.io/docs/akka/current/images/favicon.ico	(from https://doc.akka.io/docs/akka/current/index.html)
18:38:13	4894/4894	---M--	200	added ('OK')	image/png	etag:%22131e-58962feed4fe6%22	https://doc.akka.io/docs/akka/current/images/apple-touch-icon.png	doc.akka.io/docs/akka/current/images/apple-touch-icon.png	(from https://doc.akka.io/docs/akka/current/index.html)
18:38:14	1367/1367	---M--	200	added ('OK')	image/png	etag:%22557-58962feefd07f%22	https://doc.akka.io/docs/akka/current/images/favicon-32x32.png	doc.akka.io/docs/akka/current/images/favicon-32x32.png	(from https://doc.akka.io/docs/akka/current/index.html)
18:38:15	887/887	---M--	200	added ('OK')	image/png	etag:%22377-58962feefd07f%22	https://doc.akka.io/docs/akka/current/images/favicon-16x16.png	doc.akka.io/docs/akka/current/images/favicon-16x16.png	(from https://doc.akka.io/docs/akka/current/index.html)
18:38:17	406/406	---MCZ	200	added ('OK')	application/json	etag:W/%22196-58962fef185fa%22	https://doc.akka.io/docs/akka/current/images/manifest.json	doc.akka.io/docs/akka/current/images/manifest.json	(from https://doc.akka.io/docs/akka/current/index.html)
18:38:18	63688/63688	---M-Z	200	added ('OK')	application/x-javascript	etag:0x8D5C1025747B3BD	https://optanon.blob.core.windows.net/consent/159bb13d-6748-4399-806e-ac28db879785.js	optanon.blob.core.windows.net/consent/159bb13d-6748-4399-806e-ac28db879785.js	(from https://doc.akka.io/docs/akka/current/index.html)
18:38:22	1284/1284	---M-Z	200	added ('OK')	application/x-javascript	etag:%2254520320df20b526337717d6d28181fc:1554432824%22	http://munchkin.marketo.net/munchkin.js	munchkin.marketo.net/munchkin.js	(from https://doc.akka.io/docs/akka/current/index.html)
18:38:22	44287/44287	---MC-	200	added ('OK')	text/javascript	date:Thu,%2020%20Jun%202019%2021:35:04%20GMT	http://www.google-analytics.com/analytics.js	www.google-analytics.com/analytics.js	(from https://doc.akka.io/docs/akka/current/index.html)
18:38:22	1612/1612	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2264c-58962feed30a6%22	https://doc.akka.io/docs/akka/current/images/akka-logo-reverse.svg	doc.akka.io/docs/akka/current/images/akka-logo-reverse.svg	(from https://doc.akka.io/docs/akka/current/index.html)
18:38:24	16045/16045	---MCZ	200	added ('OK')	text/html	date:Fri,%2014%20Jun%202019%2016:06:21%20GMT	https://doc.akka.io/docs/akka/current/security/index.html	doc.akka.io/docs/akka/current/security/index.html	(from https://doc.akka.io/docs/akka/current/index.html)
18:38:25	20671/20671	---MCZ	200	added ('OK')	text/html	date:Fri,%2014%20Jun%202019%2016:06:20%20GMT	https://doc.akka.io/docs/akka/current/guide/index.html	doc.akka.io/docs/akka/current/guide/index.html	(from https://doc.akka.io/docs/akka/current/index.html)
18:38:26	21418/21418	---MCZ	200	added ('OK')	text/html	date:Fri,%2014%20Jun%202019%2016:06:21%20GMT	https://doc.akka.io/docs/akka/current/general/index.html	doc.akka.io/docs/akka/current/general/index.html	(from https://doc.akka.io/docs/akka/current/index.html)
18:38:27	25673/25673	---MCZ	200	added ('OK')	text/html	date:Fri,%2014%20Jun%202019%2016:06:20%20GMT	https://doc.akka.io/docs/akka/current/index-actors.html	doc.akka.io/docs/akka/current/index-actors.html	(from https://doc.akka.io/docs/akka/current/index.html)
18:38:28	26544/26544	---MCZ	200	added ('OK')	text/html	date:Fri,%2014%20Jun%202019%2016:06:20%20GMT	https://doc.akka.io/docs/akka/current/typed/index.html	doc.akka.io/docs/akka/current/typed/index.html	(from https://doc.akka.io/docs/akka/current/index.html)
18:38:29	24743/24743	---MCZ	200	added ('OK')	text/html	date:Fri,%2014%20Jun%202019%2016:06:19%20GMT	https://doc.akka.io/docs/akka/current/index-cluster.html	doc.akka.io/docs/akka/current/index-cluster.html	(from https://doc.akka.io/docs/akka/current/index.html)
18:38:30	46233/46233	---MCZ	200	added ('OK')	text/html	date:Fri,%2014%20Jun%202019%2016:06:20%20GMT	https://doc.akka.io/docs/akka/current/stream/index.html	doc.akka.io/docs/akka/current/stream/index.html	(from https://doc.akka.io/docs/akka/current/index.html)
18:38:31	19292/19292	---MCZ	200	added ('OK')	text/html	date:Fri,%2014%20Jun%202019%2016:06:19%20GMT	https://doc.akka.io/docs/akka/current/index-network.html	doc.akka.io/docs/akka/current/index-network.html	(from https://doc.akka.io/docs/akka/current/index.html)
18:38:32	26153/26153	---MCZ	200	added ('OK')	text/html	date:Fri,%2014%20Jun%202019%2016:06:21%20GMT	https://doc.akka.io/docs/akka/current/discovery/index.html	doc.akka.io/docs/akka/current/discovery/index.html	(from https://doc.akka.io/docs/akka/current/index.html)
18:38:33	23688/23688	---MCZ	200	added ('OK')	text/html	date:Fri,%2014%20Jun%202019%2016:06:20%20GMT	https://doc.akka.io/docs/akka/current/coordination.html	doc.akka.io/docs/akka/current/coordination.html	(from https://doc.akka.io/docs/akka/current/index.html)
18:38:34	13947/13947	---MCZ	200	added ('OK')	text/html	date:Fri,%2014%20Jun%202019%2016:06:20%20GMT	https://doc.akka.io/docs/akka/current/index-futures.html	doc.akka.io/docs/akka/current/index-futures.html	(from https://doc.akka.io/docs/akka/current/index.html)
18:38:35	16371/16371	---MCZ	200	added ('OK')	text/html	date:Fri,%2014%20Jun%202019%2016:06:20%20GMT	https://doc.akka.io/docs/akka/current/index-utilities.html	doc.akka.io/docs/akka/current/index-utilities.html	(from https://doc.akka.io/docs/akka/current/index.html)
18:38:36	19088/19088	---MCZ	200	added ('OK')	text/html	date:Fri,%2014%20Jun%202019%2016:06:20%20GMT	https://doc.akka.io/docs/akka/current/common/other-modules.html	doc.akka.io/docs/akka/current/common/other-modules.html	(from https://doc.akka.io/docs/akka/current/index.html)
18:38:37	31564/31564	---MCZ	200	added ('OK')	text/html	date:Fri,%2014%20Jun%202019%2016:06:21%20GMT	https://doc.akka.io/docs/akka/current/howto.html	doc.akka.io/docs/akka/current/howto.html	(from https://doc.akka.io/docs/akka/current/index.html)
18:38:38	15727/15727	---MCZ	200	added ('OK')	text/html	date:Fri,%2014%20Jun%202019%2016:06:20%20GMT	https://doc.akka.io/docs/akka/current/project/index.html	doc.akka.io/docs/akka/current/project/index.html	(from https://doc.akka.io/docs/akka/current/index.html)
18:38:39	16896/16896	---MCZ	200	added ('OK')	text/html	date:Fri,%2014%20Jun%202019%2016:06:20%20GMT	https://doc.akka.io/docs/akka/current/additional/index.html	doc.akka.io/docs/akka/current/additional/index.html	(from https://doc.akka.io/docs/akka/current/index.html)
18:38:40	19252/19252	---MCZ	200	added ('OK')	text/html	date:Fri,%2014%20Jun%202019%2016:06:21%20GMT	https://doc.akka.io/docs/akka/current/security/2017-02-10-java-serialization.html	doc.akka.io/docs/akka/current/security/2017-02-10-java-serialization.html	(from https://doc.akka.io/docs/akka/current/index.html)
18:38:41	16836/16836	---MCZ	200	added ('OK')	text/html	date:Fri,%2014%20Jun%202019%2016:06:21%20GMT	https://doc.akka.io/docs/akka/current/security/2017-08-09-camel.html	doc.akka.io/docs/akka/current/security/2017-08-09-camel.html	(from https://doc.akka.io/docs/akka/current/index.html)
18:38:42	21617/21617	---MCZ	200	added ('OK')	text/html	date:Fri,%2014%20Jun%202019%2016:06:21%20GMT	https://doc.akka.io/docs/akka/current/security/2018-08-29-aes-rng.html	doc.akka.io/docs/akka/current/security/2018-08-29-aes-rng.html	(from https://doc.akka.io/docs/akka/current/index.html)
18:38:43	17536/17536	---MCZ	200	added ('OK')	text/html	date:Fri,%2014%20Jun%202019%2016:06:20%20GMT	https://doc.akka.io/docs/akka/current/guide/introduction.html	doc.akka.io/docs/akka/current/guide/introduction.html	(from https://doc.akka.io/docs/akka/current/index.html)
18:38:44	28054/28054	---MCZ	200	added ('OK')	text/html	date:Fri,%2014%20Jun%202019%2016:06:20%20GMT	https://doc.akka.io/docs/akka/current/guide/actors-motivation.html	doc.akka.io/docs/akka/current/guide/actors-motivation.html	(from https://doc.akka.io/docs/akka/current/index.html)
18:38:44	22654/22654	---MCZ	200	added ('OK')	text/html	date:Fri,%2014%20Jun%202019%2016:06:20%20GMT	https://doc.akka.io/docs/akka/current/guide/actors-intro.html	doc.akka.io/docs/akka/current/guide/actors-intro.html	(from https://doc.akka.io/docs/akka/current/index.html)
18:38:46	38107/38107	---MCZ	200	added ('OK')	text/html	date:Fri,%2014%20Jun%202019%2016:06:20%20GMT	https://doc.akka.io/docs/akka/current/guide/modules.html	doc.akka.io/docs/akka/current/guide/modules.html	(from https://doc.akka.io/docs/akka/current/index.html)
18:38:47	18120/18120	---MCZ	200	added ('OK')	text/html	date:Fri,%2014%20Jun%202019%2016:06:20%20GMT	https://doc.akka.io/docs/akka/current/guide/tutorial.html	doc.akka.io/docs/akka/current/guide/tutorial.html	(from https://doc.akka.io/docs/akka/current/index.html)
18:38:48	37839/37839	---MCZ	200	added ('OK')	text/html	date:Fri,%2014%20Jun%202019%2016:06:20%20GMT	https://doc.akka.io/docs/akka/current/guide/tutorial_1.html	doc.akka.io/docs/akka/current/guide/tutorial_1.html	(from https://doc.akka.io/docs/akka/current/index.html)
18:38:49	21149/21149	---MCZ	200	added ('OK')	text/html	date:Fri,%2014%20Jun%202019%2016:06:20%20GMT	https://doc.akka.io/docs/akka/current/guide/tutorial_2.html	doc.akka.io/docs/akka/current/guide/tutorial_2.html	(from https://doc.akka.io/docs/akka/current/index.html)
18:38:50	46091/46091	---MCZ	200	added ('OK')	text/html	date:Fri,%2014%20Jun%202019%2016:06:20%20GMT	https://doc.akka.io/docs/akka/current/guide/tutorial_3.html	doc.akka.io/docs/akka/current/guide/tutorial_3.html	(from https://doc.akka.io/docs/akka/current/index.html)
